Year,Avg_CPI,Chg_CPI
2015,237.018,1E-3
2014,236.736,1.6221877857286952E-2
2013,232.957,1.4647595320435202E-2
2012,229.594,2.0694499397614471E-2
2011,224.939,3.1565285981582626E-2
2010,218.056,1.6402765024214963E-2
2009,214.537,-3.5577767146764846E-3
2008,215.303,3.8395501152684856E-2
2007,207.342,2.8482142857142949E-2
2006,201.6,3.2258064516128941E-2
2005,195.3,3.3880359978824805E-2
2004,188.9,2.6630434782608726E-2
2003,184,2.2790439132851552E-2
2002,179.9,1.5810276679841962E-2
2001,177.1,2.8455284552845562E-2
2000,172.2,3.3613445378151224E-2
1999,166.6,2.2085889570552113E-2
1998,163,1.5576323987538941E-2
1997,160.5,2.2944550669216024E-2
1996,156.9,2.952755905511811E-2
1995,152.4,2.8340080971660037E-2
1994,148.2,2.5605536332179851E-2
1993,144.5,2.9935851746257933E-2
1992,140.3,3.0102790014684456E-2
1991,136.2,4.2081101759755171E-2
1990,130.7,5.4032258064516038E-2
1989,124,4.8182586644125128E-2
1988,118.3,4.1373239436619746E-2
1987,113.6,3.6496350364963508E-2
1986,109.6,1.858736059479554E-2
1985,107.6,3.5611164581328091E-2
1984,103.9,4.3172690763052322E-2
1983,99.6,3.2124352331606161E-2
1982,96.5,6.1606160616061542E-2
1981,90.9,0.10315533980582524
1980,82.4,0.13498622589531697
1979,72.6,0.11349693251533728
1978,65.2,7.5907590759075924E-2
1977,60.6,6.5026362038664381E-2
1976,56.9,5.7620817843866204E-2
1975,53.8,9.1277890466531439E-2
1974,49.3,0.11036036036036033
1973,44.4,6.2200956937799083E-2
1972,41.8,3.2098765432098698E-2
1971,40.5,4.3814432989690795E-2
1970,38.8,5.7220708446866324E-2
1969,36.7,5.4597701149425457E-2
1968,34.8,4.1916167664670621E-2
1967,33.4,3.0864197530864199E-2
1966,32.4,2.8571428571428525E-2
1965,31.5,1.6129032258064516E-2
1964,31,1.3071895424836555E-2
1963,30.6,1.3245033112582853E-2
1962,30.2,1.0033444816053536E-2
1961,29.9,1.0135135135135039E-2
1960,29.6,1.7182130584192438E-2
1959,29.1,6.9204152249135939E-3
1958,28.9,2.8469750889679613E-2
1957,28.1,3.3088235294117724E-2
1956,27.2,1.4925373134328304E-2
1955,26.8,-3.7174721189590287E-3
1954,26.9,7.4906367041198234E-3
1953,26.7,7.5471698113207279E-3
1952,26.5,1.9230769230769232E-2
1951,26,7.8838174273858863E-2
1950,24.1,1.2605042016806753E-2
1949,23.8,-1.2448132780083016E-2
1948,24.1,8.0717488789237693E-2
1947,22.3,0.14358974358974363
1946,19.5,8.3333333333333329E-2
1945,18,2.2727272727272645E-2
1944,17.6,1.7341040462427786E-2
1943,17.3,6.1349693251533742E-2
1942,16.3,0.10884353741496609
1941,14.7,4.9999999999999947E-2
1940,14,7.1942446043165211E-3
1939,13.9,-1.4184397163120517E-2
1938,14.1,-2.0833333333333381E-2
1937,14.4,3.5971223021582732E-2
1936,13.9,1.4598540145985481E-2
1935,13.7,2.2388059701492456E-2
1934,13.4,3.0769230769230795E-2
1933,13,-5.1094890510948857E-2
1932,13.7,-9.8684210526315791E-2
1931,15.2,-8.9820359281437126E-2
1930,16.7,-2.33918128654972E-2
1929,17.1,0
1928,17.1,-1.7241379310344664E-2
1927,17.4,-1.6949152542372923E-2
1926,17.7,1.1428571428571389E-2
1925,17.5,2.3391812865496991E-2
1924,17.1,0
1923,17.1,1.7857142857142898E-2
1922,16.8,-6.1452513966480334E-2
1921,17.9,-0.10500000000000007
1920,20,0.15606936416184966
1919,17.3,0.14569536423841067
1918,15.1,0.17968749999999992
1917,12.8,0.17431192660550462
1916,10.9,7.9207920792079278E-2
1915,10.1,9.9999999999999638E-3
1914,10,1.0101010101010065E-2
1913,9.9,--
